Date,Open,High,Low,Close,Volume,AdjClose,Bid,Ask
2024-01-01,149.63,151.86,149.42,151.23,978333,151.23,151.22,151.24
2024-01-02,151.17,151.36,148.81,149.20,1060355,149.20,149.19,149.21
2024-01-03,149.26,149.45,148.91,148.92,959944,148.92,148.91,148.93
2024-01-04,148.75,149.42,147.97,148.63,1193292,148.63,148.62,148.64
2024-01-05,149.39,150.25,148.24,148.47,805306,148.47,148.46,148.48
2024-01-06,148.53,150.04,148.47,150.02,892358,150.02,150.01,150.03
2024-01-07,150.55,150.72,147.12,147.62,869346,147.62,147.61,147.63
2024-01-08,146.83,147.50,146.59,146.79,883177,146.79,146.78,146.80
2024-01-09,146.48,147.54,146.41,147.01,958060,147.01,147.00,147.02
2024-01-10,147.12,148.61,146.79,147.80,1008334,147.80,147.79,147.81
2024-01-11,147.97,151.55,147.77,151.51,1042814,151.51,151.50,151.52
2024-01-12,150.86,151.48,148.37,149.21,917395,149.21,149.20,149.22
2024-01-13,149.83,150.88,149.52,150.80,1060431,150.80,150.79,150.81
2024-01-14,150.19,151.13,149.53,150.62,1066369,150.62,150.61,150.63
2024-01-15,149.55,152.62,148.64,152.14,1188685,152.14,152.13,152.15
2024-01-16,152.46,154.28,152.10,153.89,816173,153.89,153.88,153.90
2024-01-17,153.47,154.87,152.83,154.74,1158305,154.74,154.73,154.75
2024-01-18,156.57,156.77,152.08,152.44,1041767,152.44,152.43,152.45
2024-01-19,151.46,153.23,151.40,152.95,1077914,152.95,152.94,152.96
2024-01-20,153.15,155.23,152.87,155.08,982614,155.08,155.07,155.09
2024-01-21,154.79,155.14,151.75,151.90,848835,151.90,151.89,151.91
2024-01-22,152.40,153.00,151.01,151.40,800208,151.40,151.39,151.41
2024-01-23,150.48,151.04,149.10,149.16,993932,149.16,149.15,149.17
2024-01-24,148.42,151.51,148.13,151.28,887506,151.28,151.27,151.29
2024-01-25,149.86,154.24,149.85,154.22,898750,154.22,154.21,154.23
2024-01-26,154.98,156.67,154.77,156.63,938028,156.63,156.62,156.64
2024-01-27,157.64,159.92,156.45,159.21,1021157,159.21,159.20,159.22
2024-01-28,158.66,160.01,158.03,159.69,1121256,159.69,159.68,159.70
2024-01-29,159.95,160.13,159.13,159.72,1119338,159.72,159.71,159.73
2024-01-30,159.74,159.95,156.56,156.93,930384,156.93,156.92,156.94
2024-02-01,157.44,157.96,154.52,154.77,838471,154.77,154.76,154.78
2024-02-02,154.67,156.31,154.09,156.28,1070276,156.28,156.27,156.29
2024-02-03,155.69,158.13,154.82,157.94,891420,157.94,157.93,157.95
2024-02-04,156.73,158.38,156.26,158.31,875483,158.31,158.30,158.32
2024-02-05,158.99,159.04,155.80,155.86,961803,155.86,155.85,155.87
2024-02-06,156.45,160.19,156.19,160.12,1189466,160.12,160.11,160.13
2024-02-07,159.41,159.79,156.21,157.57,1197783,157.57,157.56,157.58
2024-02-08,156.62,157.93,155.99,157.59,1088376,157.59,157.58,157.60
2024-02-09,157.88,157.95,152.16,153.21,900185,153.21,153.20,153.22
2024-02-10,153.42,153.44,153.00,153.42,973758,153.42,153.41,153.43
2024-02-11,154.32,154.50,150.02,150.40,892074,150.40,150.39,150.41
2024-02-12,152.29,152.38,150.40,150.41,911824,150.41,150.40,150.42
2024-02-13,150.63,151.78,150.57,151.63,1021106,151.63,151.62,151.64
2024-02-14,151.86,152.07,151.72,151.82,876364,151.82,151.81,151.83
2024-02-15,151.74,152.48,147.32,147.91,1137685,147.91,147.90,147.92
2024-02-16,148.33,148.67,145.02,145.59,918116,145.59,145.58,145.60
2024-02-17,146.17,146.49,144.50,144.68,1021128,144.68,144.67,144.69
2024-02-18,144.25,144.87,140.80,141.08,832638,141.08,141.07,141.09
2024-02-19,140.73,141.73,140.07,140.88,1068810,140.88,140.87,140.89
2024-02-20,140.30,140.55,139.82,139.99,815534,139.99,139.98,140.00
2024-02-21,140.21,140.43,135.72,136.11,908617,136.11,136.10,136.12
2024-02-22,136.08,137.42,135.92,137.24,964542,137.24,137.23,137.25
2024-02-23,136.77,139.00,136.23,138.18,1097617,138.18,138.17,138.19
2024-02-24,137.72,138.05,136.99,137.05,1075400,137.05,137.04,137.06
2024-02-25,136.09,136.65,136.02,136.41,1006679,136.41,136.40,136.42
2024-02-26,135.93,140.51,135.44,140.41,848066,140.41,140.40,140.42
2024-02-27,139.98,140.24,139.81,139.93,1191804,139.93,139.92,139.94
2024-02-28,140.37,142.15,140.17,141.26,1059909,141.26,141.25,141.27
2024-02-29,141.05,142.48,139.70,142.44,1073586,142.44,142.43,142.45
2024-02-30,142.80,143.06,142.30,142.83,1070867,142.83,142.82,142.84
2024-03-01,142.16,143.54,141.96,143.34,1050376,143.34,143.33,143.35
2024-03-02,143.66,146.07,143.37,145.69,885836,145.69,145.68,145.70
2024-03-03,145.42,146.01,144.74,145.52,1062289,145.52,145.51,145.53
2024-03-04,146.54,146.90,142.92,143.45,998415,143.45,143.44,143.46
2024-03-05,142.78,146.41,142.58,146.38,1019189,146.38,146.37,146.39
2024-03-06,147.48,147.72,141.65,142.33,851076,142.33,142.32,142.34
2024-03-07,142.65,143.11,139.07,139.14,895439,139.14,139.13,139.15
2024-03-08,139.86,141.57,139.60,141.00,1013731,141.00,140.99,141.01
2024-03-09,139.44,141.04,139.20,140.91,821394,140.91,140.90,140.92
2024-03-10,141.16,142.02,140.64,140.72,997210,140.72,140.71,140.73
2024-03-11,141.43,145.42,141.29,145.31,1172372,145.31,145.30,145.32
2024-03-12,146.50,146.54,146.23,146.27,1135392,146.27,146.26,146.28
2024-03-13,145.32,145.60,144.93,145.50,858642,145.50,145.49,145.51
2024-03-14,144.46,145.85,144.00,145.75,1152144,145.75,145.74,145.76
2024-03-15,145.94,146.40,144.65,145.41,1083272,145.41,145.40,145.42
2024-03-16,143.88,145.08,143.44,144.71,932101,144.71,144.70,144.72
2024-03-17,143.68,144.70,143.06,143.87,1096390,143.87,143.86,143.88
2024-03-18,144.29,145.59,143.93,145.10,895003,145.10,145.09,145.11
2024-03-19,144.74,145.11,139.80,139.82,974534,139.82,139.81,139.83
2024-03-20,138.63,141.27,138.56,141.15,1078164,141.15,141.14,141.16
2024-03-21,140.70,141.00,138.57,139.17,1166102,139.17,139.16,139.18
2024-03-22,138.62,138.95,138.21,138.75,1058739,138.75,138.74,138.76
2024-03-23,137.90,138.46,137.33,137.66,903980,137.66,137.65,137.67
2024-03-24,137.35,138.28,137.08,137.62,1041113,137.62,137.61,137.63
2024-03-25,137.22,137.93,136.17,136.86,1167671,136.86,136.85,136.87
2024-03-26,136.10,137.50,135.53,137.32,992148,137.32,137.31,137.33
2024-03-27,136.94,140.86,136.83,140.34,825405,140.34,140.33,140.35
2024-03-28,140.56,144.52,140.42,144.44,1034060,144.44,144.43,144.45
2024-03-29,145.04,146.55,144.45,146.27,882018,146.27,146.26,146.28
2024-03-30,145.71,145.82,144.14,144.29,1102800,144.29,144.28,144.30
2024-04-01,144.29,144.33,142.89,143.44,923111,143.44,143.43,143.45
2024-04-02,143.08,149.15,142.48,148.97,1055745,148.97,148.96,148.98
2024-04-03,149.11,149.73,148.39,149.16,1021926,149.16,149.15,149.17
2024-04-04,149.33,150.21,147.32,148.22,1164189,148.22,148.21,148.23
2024-04-05,148.37,148.65,143.69,144.10,983739,144.10,144.09,144.11
2024-04-06,144.40,145.97,143.74,145.44,883652,145.44,145.43,145.45
2024-04-07,144.25,148.41,143.31,147.51,1033906,147.51,147.50,147.52
2024-04-08,148.58,148.99,145.54,145.79,964664,145.79,145.78,145.80
2024-04-09,145.81,148.36,145.78,148.21,889540,148.21,148.20,148.22
2024-04-10,147.87,150.64,147.77,150.60,1019486,150.60,150.59,150.61
