Date,Open,High,Low,Close,Volume,AdjClose,Bid,Ask
2024-01-01,2792.82,2880.96,2783.52,2872.63,996448,2872.63,2872.62,2872.64
2024-01-02,2866.91,2936.03,2857.64,2933.93,960407,2933.93,2933.92,2933.94
2024-01-03,2914.40,2992.02,2907.34,2982.55,1037561,2982.55,2982.54,2982.56
2024-01-04,2970.21,3079.06,2968.10,3074.78,971145,3074.78,3074.77,3074.79
2024-01-05,3073.76,3085.87,2981.69,2988.66,966884,2988.66,2988.65,2988.67
2024-01-06,2972.37,3063.25,2965.76,3056.72,811193,3056.72,3056.71,3056.73
2024-01-07,3052.23,3062.03,3036.57,3044.12,1004705,3044.12,3044.11,3044.13
2024-01-08,3077.32,3095.11,2987.63,2987.87,1073305,2987.87,2987.86,2987.88
2024-01-09,2966.58,2991.70,2952.60,2988.16,992357,2988.16,2988.15,2988.17
2024-01-10,2979.41,3029.89,2977.59,3029.64,936318,3029.64,3029.63,3029.65
2024-01-11,3040.11,3064.62,3037.22,3049.04,907313,3049.04,3049.03,3049.05
2024-01-12,3042.07,3085.83,3030.18,3084.71,925987,3084.71,3084.70,3084.72
2024-01-13,3064.08,3085.60,3052.71,3084.90,1167623,3084.90,3084.89,3084.91
2024-01-14,3084.77,3114.12,3084.08,3095.87,912317,3095.87,3095.86,3095.88
2024-01-15,3090.33,3110.10,3082.07,3109.86,887350,3109.86,3109.85,3109.87
2024-01-16,3123.51,3137.96,3086.62,3093.87,892521,3093.87,3093.86,3093.88
2024-01-17,3106.16,3106.25,2994.86,2995.62,1055209,2995.62,2995.61,2995.63
2024-01-18,2990.50,3039.81,2984.62,3027.99,1149401,3027.99,3027.98,3028.00
2024-01-19,3028.69,3031.46,3004.34,3008.41,984095,3008.41,3008.40,3008.42
2024-01-20,3000.11,3011.79,2966.61,2968.77,1071170,2968.77,2968.76,2968.78
2024-01-21,2972.79,2982.58,2967.02,2981.51,991384,2981.51,2981.50,2981.52
2024-01-22,3016.24,3018.37,3008.71,3013.38,1062139,3013.38,3013.37,3013.39
2024-01-23,3021.08,3024.78,2905.52,2920.83,918351,2920.83,2920.82,2920.84
2024-01-24,2943.40,2946.78,2924.10,2944.48,1053112,2944.48,2944.47,2944.49
2024-01-25,2943.93,2954.69,2943.53,2948.01,1003772,2948.01,2948.00,2948.02
2024-01-26,2927.58,2931.66,2915.69,2926.27,1124416,2926.27,2926.26,2926.28
2024-01-27,2909.69,2943.87,2903.07,2910.82,961342,2910.82,2910.81,2910.83
2024-01-28,2891.27,2949.97,2889.42,2941.40,990984,2941.40,2941.39,2941.41
2024-01-29,2935.47,2940.75,2884.70,2900.85,882349,2900.85,2900.84,2900.86
2024-01-30,2909.84,2917.78,2909.59,2910.52,1079425,2910.52,2910.51,2910.53
2024-02-01,2907.39,2908.06,2769.25,2788.69,1168851,2788.69,2788.68,2788.70
2024-02-02,2794.28,2842.56,2774.24,2830.91,969566,2830.91,2830.90,2830.92
2024-02-03,2818.12,2822.44,2786.57,2794.05,1036957,2794.05,2794.04,2794.06
2024-02-04,2819.22,2826.29,2766.31,2779.27,1186279,2779.27,2779.26,2779.28
2024-02-05,2798.02,2802.75,2791.04,2802.56,921586,2802.56,2802.55,2802.57
2024-02-06,2807.73,2812.56,2795.22,2803.71,922092,2803.71,2803.70,2803.72
2024-02-07,2820.14,2829.43,2743.86,2757.57,1099064,2757.57,2757.56,2757.58
2024-02-08,2745.40,2762.77,2734.70,2762.64,1073596,2762.64,2762.63,2762.65
2024-02-09,2790.81,2807.49,2785.63,2786.39,1128057,2786.39,2786.38,2786.40
2024-02-10,2779.41,2798.88,2773.14,2785.06,949008,2785.06,2785.05,2785.07
2024-02-11,2798.32,2809.63,2742.49,2763.81,846883,2763.81,2763.80,2763.82
2024-02-12,2759.73,2844.78,2740.19,2824.45,925417,2824.45,2824.44,2824.46
2024-02-13,2827.08,2839.28,2784.59,2789.58,922045,2789.58,2789.57,2789.59
2024-02-14,2791.90,2838.20,2783.58,2828.45,1178648,2828.45,2828.44,2828.46
2024-02-15,2842.13,2851.09,2742.59,2744.36,929027,2744.36,2744.35,2744.37
2024-02-16,2744.90,2771.32,2734.33,2757.40,1097852,2757.40,2757.39,2757.41
2024-02-17,2774.93,2786.32,2715.39,2737.03,974443,2737.03,2737.02,2737.04
2024-02-18,2726.94,2735.12,2670.60,2674.20,1181559,2674.20,2674.19,2674.21
2024-02-19,2686.81,2693.56,2667.59,2672.98,1104975,2672.98,2672.97,2672.99
2024-02-20,2667.14,2732.24,2664.12,2717.09,827894,2717.09,2717.08,2717.10
2024-02-21,2710.94,2750.25,2704.25,2749.61,1026539,2749.61,2749.60,2749.62
2024-02-22,2732.11,2743.17,2696.52,2706.87,1086103,2706.87,2706.86,2706.88
